Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,0,-1.5444,1.0315,0.610104,0.842922,-0.529868,-1.03953,-1.33142,-0.301277,0.42108,1.25485,-0.774873,0.711607,-0.832482,-0.121165,-0.252393,0.791276,0.437874,2.16519,-0.944421,0.33315,-0.763868,0.836142,-1.7532,-1.11827,-0.433481,0.262495,-0.637471,-0.695359,1.29673,-0.309408,0.125094,-0.775622,-0.109556,-1.65273,0.507785,-2.71353,-0.157885,-1.50535,0.794953,
1,0,-0.158957,1.02406,-1.58433,-1.54658,0.195209,-0.30258,-0.128202,-0.114179,1.37013,1.30163,-0.184001,0.115833,1.95269,-0.161791,-0.227005,1.05468,0.196608,-0.433114,0.986474,0.841558,0.499946,-1.81644,0.421311,-2.25613,0.335199,1.0263,-1.18003,0.855516,1.12942,0.394239,0.70328,0.883492,1.09109,-1.1834,-0.751426,1.59023,-1.74504,-1.05091,0.845903,
2,0,-0.0137387,-1.00577,1.31307,0.520579,-0.220113,-0.716741,-1.98814,2.11891,0.0244264,0.0515456,0.462493,-0.298831,-0.0598995,-0.460769,1.36581,-1.29635,-0.565244,-0.130814,0.900356,-1.32138,2.37853,2.11915,-0.977864,0.298435,1.16362,-0.861881,-1.33338,0.0628411,-0.563372,0.0151194,-0.299392,-0.028969,0.973842,1.93714,-0.335139,1.12718,0.56749,-0.125965,0.861262,
3,0,-0.435901,0.592571,-2.31375,0.839938,-1.10831,0.856631,0.594184,-0.0488178,-0.813118,-0.708488,0.825792,-0.703496,0.917758,0.312864,0.980701,0.494643,-0.162843,2.50706,1.33615,0.290746,0.0272549,0.0758004,0.942969,-0.283786,-1.30066,-1.23863,-0.455331,0.774315,0.0795627,-0.185316,-0.189946,-0.948539,-0.931408,0.62205,-0.445125,-2.84452,0.970913,-1.63555,0.420266,
4,0,-1.21114,1.70189,1.36157,-2.37908,1.36848,0.285781,-0.40342,-0.723187,-1.39426,-0.581313,-1.89773,1.68173,0.969439,0.940528,-0.825453,-0.037277,1.54654,-0.978432,-0.068836,-0.218019,-0.489994,-1.32809,-0.253786,0.536917,0.574942,-1.27019,-1.4017,-1.12482,1.74672,1.98488,-1.0116,-0.697669,-0.989627,-0.602045,1.16157,-1.188,0.251203,0.370011,0.162234,
5,0,-0.906139,0.278663,1.86048,-0.863417,1.25752,0.957042,0.371822,0.170753,0.53858,0.45324,1.32996,-0.748689,0.727144,0.914684,1.06405,0.877344,0.803441,0.178287,-2.11532,-1.15453,0.80616,0.245631,-0.238527,-1.16302,0.122652,-0.593339,-1.51752,0.0541072,-0.783016,1.72674,1.00982,2.02577,-0.930825,2.43741,2.11518,0.163256,-0.186107,1.36885,1.72758,
6,0,0.150269,1.92802,-0.364576,-0.700961,-0.572141,0.0072849,-1.02563,-1.33583,0.643488,-1.04599,-0.125779,-2.05153,1.37145,-0.945379,1.80909,-1.20511,-0.670197,-0.650001,-0.344036,2.01467,-1.30834,0.383576,-0.570661,-0.419704,-0.87087,0.314459,0.64531,1.71974,-0.960795,-1.28362,0.469836,-0.567111,-0.0437841,0.830747,-1.60165,-1.61044,1.29558,-0.509513,-1.89268,
7,0,2.07986,0.677757,0.881738,-0.568744,0.110098,0.318193,-0.611052,2.78473,-2.00397,0.254396,-1.23014,-0.207049,0.268769,-1.071,-0.516998,-0.827337,1.70995,-1.22482,-0.307068,-1.58364,1.01762,1.48352,-0.947349,-0.600771,-0.569113,-0.533698,-1.56224,-0.787699,0.0793681,0.59611,0.429764,0.287464,0.555298,1.41334,-1.38657,-0.914949,-0.92384,-0.591572,-1.8564,
8,0,0.147405,1.52756,1.0551,2.59615,1.04181,0.606033,0.00855177,0.340528,-0.473766,0.947284,0.556144,0.546036,2.24935,-0.0209435,1.49745,1.02106,-1.13481,0.651519,-0.803441,-0.0284553,-0.602444,0.404984,-0.0302969,0.269971,0.428016,2.08389,-0.301565,0.56229,-0.219718,-0.916866,0.752058,-0.011781,-3.37152,-0.324072,1.3689,0.464107,1.16908,0.463485,0.970632,
9,0,0.32492,1.02859,-0.149613,-0.432038,1.06746,-1.18634,-0.0322224,-1.52,0.914214,-0.689885,0.303818,-1.12229,-1.13406,-0.167222,0.706219,-0.456274,0.624363,1.56856,-0.814703,0.071677,-0.077081,-1.28312,-0.13103,0.282818,-0.614845,0.0471608,-0.573708,-0.844534,-0.86995,-1.00238,-0.973899,-2.33489,0.0461204,-1.28802,-0.266965,-0.559128,-1.73756,1.31574,0.197836,
10,0,1.62909,1.70698,0.295747,-0.900462,0.162925,0.504397,-0.254553,0.185287,-0.863099,0.251106,0.119972,1.09747,0.200559,0.476421,-0.712352,1.10849,0.940252,-0.34227,-0.9569,-1.00715,1.77734,-0.649645,0.127407,0.799859,1.05094,-1.83809,-0.909884,1.23611,0.00501067,-1.60556,0.448694,-0.347431,0.539959,1.12589,0.0867641,1.48876,-0.787479,0.527029,-0.11646,
11,0,-0.210163,0.251726,-0.0564455,-1.34547,0.156621,-0.963484,-0.195184,-0.859511,-0.720929,-0.227959,0.35908,-0.873812,-1.81833,-1.72996,0.423867,-0.477852,-1.22122,-0.883562,0.423193,0.846509,-0.119842,-0.927845,-2.54007,-2.07845,-0.711441,-1.2184,-0.0344855,1.37074,-0.957062,-1.81919,-0.688521,0.517125,-1.03013,-1.04398,1.55153,-1.15769,-1.08383,1.73614,-2.17631,
12,0,-0.234698,-1.29441,0.843971,0.758154,-0.459887,0.792159,-0.951926,1.2689,1.34563,-0.463004,-0.661526,-1.32513,0.613147,-0.0797517,0.414142,0.13281,0.930612,-0.420363,-0.199188,-0.586212,-0.489564,0.262528,-0.472573,0.61891,1.0325,-0.715453,1.47559,-1.20796,0.0778909,-1.65378,0.180044,-0.0509138,-0.928212,-0.945361,0.133948,0.762401,1.95696,-0.939803,0.115351,
13,0,1.4527,0.602052,0.284558,-0.965705,-1.22421,-0.904277,-0.448981,-1.11657,-0.781603,-0.102831,1.4972,-0.206506,1.30987,0.985619,1.1536,0.834589,-0.497167,-0.848138,-0.149726,-0.200741,-0.638864,1.27569,-0.254873,-0.472406,-0.451411,-0.579251,1.08499,1.07314,1.53361,2.0936,0.700578,0.873767,1.8086,0.278812,-0.56922,-0.0333167,1.78585,0.265795,2.06167,
14,0,-0.808298,0.216651,1.85854,-0.457771,0.758305,-1.48803,0.0647979,-0.632497,1.0624,0.756992,0.97999,0.122914,0.33811,-0.728098,-0.0139172,-1.53414,1.19677,-1.67107,-0.858648,0.000386747,0.434479,-0.156698,-2.14379,0.239229,-1.27501,-0.775249,-1.11733,0.857459,0.609056,0.245162,-0.101181,-0.778892,0.535221,0.0847914,0.520556,3.02461,1.07339,1.40431,1.09242,
15,0,-0.0938386,0.534172,-0.0248195,1.00677,0.383603,-2.33627,-0.890665,-0.362423,1.93163,-0.00989755,-0.398503,0.131431,0.139375,0.262919,-1.07765,-0.688793,-0.484598,0.562635,1.41195,-0.802912,-1.03351,-2.82206,-0.012256,-0.511708,0.947695,-0.690018,0.612811,-0.582951,0.648681,-0.864699,-0.483757,-1.24169,-0.449165,1.50174,-1.02054,-0.22323,1.39672,0.00260341,0.452858,
16,0,1.79071,0.215252,0.314864,0.114041,-1.70501,0.272937,-0.281203,-0.0422501,1.54949,1.05373,-0.245094,-0.750971,-0.617114,-0.712103,0.0255588,-1.01857,-1.03304,-0.857845,0.421373,-0.686136,-0.602422,0.973078,1.41678,-0.0729849,0.314132,-0.642474,3.24295,0.532171,-1.27657,-1.69901,-1.00297,0.118557,1.18124,0.120032,1.83213,1.10387,0.603571,2.08826,1.31258,
17,0,-1.24516,-1.16933,2.10392,0.980874,0.874579,-0.917492,-1.03499,0.00529907,-0.402528,1.267,1.15709,1.49368,0.303178,2.19982,-2.97988,-0.0113037,1.10508,-0.298613,-1.77585,-0.133564,0.501589,1.8883,-0.0884011,0.343697,-0.643353,0.569175,0.822866,-0.583324,0.391635,-0.557704,-1.25932,-0.286475,0.802331,0.197388,1.884,0.579188,0.801998,-0.330755,1.92077,
18,0,0.556418,-0.227655,-0.747225,-0.143901,-2.36316,0.196689,-1.59915,0.332139,-0.302816,-0.547407,0.0773454,-0.215851,1.56719,-1.26423,-0.344065,-1.83502,0.125653,1.51308,0.822726,1.16078,0.026498,0.934995,2.32413,-0.328614,-0.898841,0.617296,0.783266,-0.639306,-0.43,-1.66048,-1.0262,1.60243,1.28658,-1.33332,-1.17997,0.77876,1.2557,-0.327341,-0.926749,
19,0,-0.612292,0.94532,1.41127,1.1246,-0.137728,-0.810653,1.33324,0.327297,-0.0640511,-0.165191,-0.129847,-0.0999819,-0.14666,-1.71803,0.439978,0.854577,-0.143268,-0.678104,-1.83639,-1.95117,0.512667,0.15308,-0.087167,-0.0524839,-0.497676,-0.709515,-0.729072,0.143552,-0.536805,1.925,1.26894,0.422308,-0.673275,-0.981664,-0.906238,0.615996,1.35458,0.28878,-2.63917,
20,0,0.575253,0.133544,1.64822,-0.533719,-0.671398,-0.526491,-0.306978,-0.439094,0.509693,0.965613,-0.904395,0.503683,0.377449,-0.29198,-0.883546,0.566109,1.53012,0.499001,0.326302,0.248993,-0.8083,-0.480809,-1.33467,-1.85141,1.44358,-0.784819,-0.787204,0.118209,-1.85033,-0.7971,0.270341,0.0992286,-0.211416,-1.4994,-0.81984,0.0668409,-0.852574,-0.630231,-2.07667,
21,0,1.61128,2.98469,0.828527,2.61692,2.28265,0.372702,0.696438,0.642937,0.924749,-0.185631,-0.0430824,0.106563,0.298645,-0.80826,0.770703,-0.967931,0.315505,-1.61637,0.229239,0.486759,1.21212,0.396568,1.77842,0.67921,-0.385182,1.27366,1.54536,-0.889835,0.260718,-0.517499,-0.6439,-1.808,-1.03124,-0.552205,-1.11048,1.06285,1.24456,-0.267969,0.786872,
22,0,-1.36126,-0.505563,0.376221,1.82164,-0.575051,0.056599,-0.943919,0.0916384,-0.274063,0.44498,-1.64902,0.878519,-1.45634,-0.17503,0.303666,-1.217,-2.66243,-1.31836,-2.29256,1.64718,0.0518582,-0.431518,-0.353162,0.301917,0.903856,0.325969,1.658,-2.30987,-0.727499,1.32704,-1.10198,-0.196873,0.483958,-0.658955,-0.274205,-1.69599,-1.4804,-0.550712,-0.388531,
23,0,0.753871,1.23916,-0.764686,1.0222,1.25402,0.982068,-0.876109,-0.348344,1.26211,0.835358,1.57667,1.43635,0.259684,1.62893,0.0998289,0.535032,-0.290797,0.241896,-0.569648,0.554367,-0.176305,0.598981,-1.06157,-0.345013,-0.845026,-0.588219,-1.26386,1.14245,1.83228,0.470035,0.961213,-1.05194,0.201003,-0.833913,1.80468,-1.66039,1.74447,0.488326,0.0519903,
24,0,-1.92314,-0.928534,-0.356113,-0.49338,-0.613685,-1.21301,-0.0580681,-1.22486,-0.5564,-0.436977,2.04278,1.83578,-0.969261,-0.797881,-1.22559,-1.19114,-0.820426,0.535871,-0.33411,-0.0644892,0.260793,0.901814,-2.11533,-0.024849,0.251468,-0.863907,0.13843,-2.67567,0.483875,-0.127118,1.37577,0.117142,0.217689,1.65247,0.348305,0.32263,-0.783249,2.00342,0.428873,
